quarter,quarter_qf,hb,hbqf,location,location_qf,admission_type,admission_type_qf,simd,simdqf,episodes,length_of_episode,average_length_of_episode,average_length_of_episode_qf,stays,length_of_stay,average_length_of_stay,average_length_of_stay_qf,total_stays_per_quarter_simd,total_episodes_per_quarter_simd
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,39,126,3.23076923076923,NA,32,277,8.65625,NA,68555,69534
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,34,64,1.88235294117647,NA,25,138,5.52,NA,68961,70511
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,63,86,1.36507936507937,NA,55,345,6.27272727272727,NA,70445,72285
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,48,92,1.91666666666667,NA,45,241,5.35555555555556,NA,70933,72325
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,50,207,4.14,NA,45,478,10.6222222222222,NA,70047,71060
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,54,232,4.2962962962963,NA,46,403,8.76086956521739,NA,68408,69983
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,63,214,3.3968253968254,NA,50,245,4.9,NA,70761,72146
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,52,225,4.32692307692308,NA,35,258,7.37142857142857,NA,71045,72547
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,59,224,3.79661016949153,NA,45,416,9.24444444444444,NA,73187,74775
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,55,213,3.87272727272727,NA,45,411,9.13333333333333,NA,72742,74088
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,59,194,3.28813559322034,NA,40,208,5.2,NA,74645,76530
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,55,114,2.07272727272727,NA,40,304,7.6,NA,69331,69158
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,81,241,2.97530864197531,NA,65,289,4.44615384615385,NA,54636,56737
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,54,124,2.2962962962963,NA,40,212,5.3,NA,66116,67727
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,63,230,3.65079365079365,NA,50,291,5.82,NA,64608,66043
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,60,130,2.16666666666667,NA,40,200,5,NA,63159,64495
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,50,134,2.68,NA,40,333,8.325,NA,69903,71446
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,3,NA,52,133,2.55769230769231,NA,35,214,6.11428571428571,NA,67026,68244
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,34,117,3.44117647058824,NA,30,229,7.63333333333333,NA,58163,59144
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,48,132,2.75,NA,35,214,6.11428571428571,NA,58095,59198
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,38,60,1.57894736842105,NA,35,216,6.17142857142857,NA,57225,58155
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,50,152,3.04,NA,35,157,4.48571428571429,NA,57490,58402
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,39,81,2.07692307692308,NA,35,272,7.77142857142857,NA,56998,58062
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,53,156,2.94339622641509,NA,50,501,10.02,NA,59111,60339
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,43,98,2.27906976744186,NA,40,267,6.675,NA,58884,59779
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,45,160,3.55555555555556,NA,35,256,7.31428571428571,NA,59541,60662
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,27,70,2.59259259259259,NA,20,145,7.25,NA,58852,60019
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,32,195,6.09375,NA,30,229,7.63333333333333,NA,60811,61821
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,38,75,1.97368421052632,NA,25,234,9.36,NA,60699,61351
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,55,145,2.63636363636364,NA,40,282,7.05,NA,61913,63104
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,46,75,1.6304347826087,NA,40,130,3.25,NA,61761,63083
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,42,120,2.85714285714286,NA,40,254,6.35,NA,62566,63691
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,30,65,2.16666666666667,NA,25,195,7.8,NA,58425,58026
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,43,118,2.74418604651163,NA,30,88,2.93333333333333,NA,47527,48878
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,31,135,4.35483870967742,NA,24,150,6.25,NA,56644,58054
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,30,80,2.66666666666667,NA,25,303,12.12,NA,54958,55724
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,31,160,5.16129032258065,NA,25,155,6.2,NA,53408,54598
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,55,210,3.81818181818182,NA,35,272,7.77142857142857,NA,59876,61024
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,4,NA,51,120,2.35294117647059,NA,37,276,7.45945945945946,NA,58929,59660
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,33,128,3.87878787878788,NA,25,229,9.16,NA,48789,49574
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,30,47,1.56666666666667,NA,25,147,5.88,NA,49817,50493
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,29,57,1.96551724137931,NA,25,120,4.8,NA,48563,49158
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,33,114,3.45454545454545,NA,20,237,11.85,NA,48709,49089
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,38,73,1.92105263157895,NA,30,156,5.2,NA,48878,49750
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,39,68,1.74358974358974,NA,25,181,7.24,NA,50635,51597
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,36,73,2.02777777777778,NA,35,237,6.77142857142857,NA,50296,50808
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,30,44,1.46666666666667,NA,25,154,6.16,NA,49625,49920
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,40,71,1.775,NA,35,201,5.74285714285714,NA,48847,49787
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,31,80,2.58064516129032,NA,25,255,10.2,NA,52225,52949
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,47,78,1.6595744680851101,NA,40,271,6.775,NA,51583,52175
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,39,128,3.28205128205128,NA,35,253,7.22857142857143,NA,52222,52974
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,39,177,4.53846153846154,NA,30,174,5.8,NA,52734,53908
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,29,72,2.48275862068966,NA,25,105,4.2,NA,52902,53620
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,41,86,2.09756097560976,NA,40,221,5.525,NA,49182,48675
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,59,174,2.94915254237288,NA,50,194,3.88,NA,39438,40524
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,43,101,2.34883720930233,NA,40,276,6.9,NA,47617,48459
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,40,94,2.35,NA,35,133,3.8,NA,45843,46759
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,38,50,1.31578947368421,NA,30,98,3.26666666666667,NA,45623,46276
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,41,76,1.85365853658537,NA,40,171,4.275,NA,50477,51506
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,5,NA,37,67,1.81081081081081,NA,25,175,7,NA,48852,49110
2016Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,72,259,3.59722222222222,NA,64,630,9.84375,NA,106245,107465
2016Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,97,255,2.62886597938144,NA,83,583,7.02409638554217,NA,103596,105102
2017Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,83,139,1.67469879518072,NA,70,431,6.15714285714286,NA,101208,102663
2017Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,92,174,1.89130434782609,NA,74,363,4.90540540540541,NA,103344,104270
2017Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,83,264,3.18072289156627,NA,69,480,6.95652173913043,NA,102745,104338
2017Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,78,219,2.80769230769231,NA,69,511,7.40579710144928,NA,104033,106076
2018Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,76,148,1.94736842105263,NA,70,659,9.41428571428571,NA,102970,103966
2018Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,98,184,1.87755102040816,NA,83,440,5.30120481927711,NA,102891,104068
2018Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,98,263,2.68367346938776,NA,78,496,6.35897435897436,NA,103640,105287
2018Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,89,237,2.66292134831461,NA,73,613,8.3972602739726,NA,103887,105590
2019Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,109,231,2.11926605504587,NA,90,518,5.75555555555556,NA,106111,107639
2019Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,101,181,1.79207920792079,NA,85,565,6.64705882352941,NA,107289,108730
2019Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,84,117,1.39285714285714,NA,70,379,5.41428571428571,NA,108731,110532
2019Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,84,191,2.27380952380952,NA,70,294,4.2,NA,106455,108127
2020Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,86,165,1.91860465116279,NA,75,568,7.57333333333333,NA,98344,98021
2020Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,110,275,2.5,NA,82,840,10.2439024390244,NA,80673,83110
2020Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,93,260,2.79569892473118,NA,80,691,8.6375,NA,96701,98499
2020Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,95,181,1.90526315789474,NA,70,295,4.21428571428571,NA,92374,93674
2021Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,106,234,2.20754716981132,NA,87,478,5.49425287356322,NA,89456,91189
2021Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,108,224,2.07407407407407,NA,85,551,6.48235294117647,NA,102177,103517
2021Q3,p,SB0801,NA,SB0801,d,Emergency Inpatients,NA,1,NA,123,212,1.72357723577236,NA,103,583,5.66019417475728,NA,97829,98731
2016Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,48,205,4.27083333333333,NA,40,468,11.7,NA,84182,85607
2016Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,48,95,1.97916666666667,NA,33,279,8.45454545454546,NA,83519,85066
2017Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,42,67,1.5952380952381,NA,35,177,5.05714285714286,NA,84626,85955
2017Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,62,115,1.85483870967742,NA,46,292,6.34782608695652,NA,85141,86553
2017Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,61,128,2.09836065573771,NA,42,258,6.14285714285714,NA,84955,86445
2017Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,59,215,3.64406779661017,NA,43,423,9.83720930232558,NA,84805,86768
2018Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,53,105,1.9811320754717,NA,44,291,6.61363636363636,NA,85976,87144
2018Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,60,137,2.28333333333333,NA,55,356,6.47272727272727,NA,85164,86141
2018Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,54,251,4.64814814814815,NA,46,535,11.6304347826087,NA,84037,85973
2018Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,51,173,3.3921568627451,NA,45,581,12.9111111111111,NA,86126,87600
2019Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,64,151,2.359375,NA,45,274,6.08888888888889,NA,86380,87421
2019Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,77,138,1.79220779220779,NA,65,366,5.63076923076923,NA,88381,90071
2019Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,67,163,2.43283582089552,NA,55,341,6.2,NA,88978,90408
2019Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,53,161,3.0377358490566,NA,40,233,5.825,NA,88767,90413
2020Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,43,136,3.16279069767442,NA,35,247,7.05714285714286,NA,83194,82750
2020Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,74,199,2.68918918918919,NA,60,315,5.25,NA,66222,68211
2020Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,41,106,2.58536585365854,NA,35,212,6.05714285714286,NA,80340,82023
2020Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,55,125,2.27272727272727,NA,50,218,4.36,NA,76999,78300
2021Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,60,117,1.95,NA,50,193,3.86,NA,76119,77546
2021Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,55,95,1.72727272727273,NA,45,576,12.8,NA,84525,86041
2021Q3,p,SB0801,NA,SB0801,d,Emergency Inpatients,NA,2,NA,66,271,4.10606060606061,NA,60,509,8.48333333333333,NA,82189,82892
2016Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,59,178,3.01694915254237,NA,45,440,9.77777777777778,NA,68728,70229
2016Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,42,123,2.92857142857143,NA,35,248,7.08571428571429,NA,68398,70070
2017Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,50,95,1.9,NA,45,239,5.31111111111111,NA,68230,69803
2017Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,39,126,3.23076923076923,NA,32,277,8.65625,NA,68555,69534
2017Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,34,64,1.88235294117647,NA,25,138,5.52,NA,68961,70511
2017Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,63,86,1.36507936507937,NA,55,345,6.27272727272727,NA,70445,72285
2018Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,48,92,1.91666666666667,NA,45,241,5.35555555555556,NA,70933,72325
2018Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,50,207,4.14,NA,45,478,10.6222222222222,NA,70047,71060
2018Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,54,232,4.2962962962963,NA,46,403,8.76086956521739,NA,68408,69983
2018Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,63,214,3.3968253968254,NA,50,245,4.9,NA,70761,72146
2019Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,52,225,4.32692307692308,NA,35,258,7.37142857142857,NA,71045,72547
2019Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,59,224,3.79661016949153,NA,45,416,9.24444444444444,NA,73187,74775
2019Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,55,213,3.87272727272727,NA,45,411,9.13333333333333,NA,72742,74088
2019Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,59,194,3.28813559322034,NA,40,208,5.2,NA,74645,76530
2020Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,55,114,2.07272727272727,NA,40,304,7.6,NA,69331,69158
2020Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,81,241,2.97530864197531,NA,65,289,4.44615384615385,NA,54636,56737
2020Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,54,124,2.2962962962963,NA,40,212,5.3,NA,66116,67727
2020Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,63,230,3.65079365079365,NA,50,291,5.82,NA,64608,66043
2021Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,60,130,2.16666666666667,NA,40,200,5,NA,63159,64495
2021Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,50,134,2.68,NA,40,333,8.325,NA,69903,71446
2021Q3,p,SB0801,NA,SB0801,d,Emergency Inpatients,NA,3,NA,52,133,2.55769230769231,NA,35,214,6.11428571428571,NA,67026,68244
2016Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,34,117,3.44117647058824,NA,30,229,7.63333333333333,NA,58163,59144
2016Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,48,132,2.75,NA,35,214,6.11428571428571,NA,58095,59198
2017Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,38,60,1.57894736842105,NA,35,216,6.17142857142857,NA,57225,58155
2017Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,50,152,3.04,NA,35,157,4.48571428571429,NA,57490,58402
2017Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,39,81,2.07692307692308,NA,35,272,7.77142857142857,NA,56998,58062
2017Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,53,156,2.94339622641509,NA,50,501,10.02,NA,59111,60339
2018Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,43,98,2.27906976744186,NA,40,267,6.675,NA,58884,59779
2018Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,45,160,3.55555555555556,NA,35,256,7.31428571428571,NA,59541,60662
2018Q3,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,27,70,2.59259259259259,NA,20,145,7.25,NA,58852,60019
2018Q4,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,32,195,6.09375,NA,30,229,7.63333333333333,NA,60811,61821
2019Q1,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,38,75,1.97368421052632,NA,25,234,9.36,NA,60699,61351
2019Q2,NA,SB0801,NA,SB0801,d,Emergency Inpatients,NA,4,NA,55,145,2.63636363636364,NA,40,282,7.05,NA,61913,63104
