year,year_quarter,month,treatment_location,region,treatment_location_name,department_type,number_of_attendances_aggregate,hrs_waiting,number_attendances
2016,2016Q3,07,V217H,NHS Forth Valley,Forth Valley Royal Hospital - ED,Emergency Department,5274,hrs_waiting_4,5100
2016,2016Q3,07,V217H,NHS Forth Valley,Forth Valley Royal Hospital - ED,Emergency Department,5274,hrs_more_waiting_8,1
2016,2016Q3,07,V217H,NHS Forth Valley,Forth Valley Royal Hospital - ED,Emergency Department,5274,hrs_more_waiting_12,0
2016,2016Q3,07,N101H,NHS Grampian,Aberdeen Royal Infirmary - ED,Emergency Department,5053,hrs_waiting_4,4761
2016,2016Q3,07,N101H,NHS Grampian,Aberdeen Royal Infirmary - ED,Emergency Department,5053,hrs_more_waiting_8,6
2016,2016Q3,07,N101H,NHS Grampian,Aberdeen Royal Infirmary - ED,Emergency Department,5053,hrs_more_waiting_12,0
2016,2016Q3,07,N121H,NHS Grampian,Royal Aberdeen Children's Hospital - ED,Emergency Department,1125,hrs_waiting_4,1109
2016,2016Q3,07,N121H,NHS Grampian,Royal Aberdeen Children's Hospital - ED,Emergency Department,1125,hrs_more_waiting_8,0
2016,2016Q3,07,N121H,NHS Grampian,Royal Aberdeen Children's Hospital - ED,Emergency Department,1125,hrs_more_waiting_12,0
2016,2016Q3,07,N411H,NHS Grampian,Dr Gray's Hospital - ED,Emergency Department,2234,hrs_waiting_4,2180
2016,2016Q3,07,N411H,NHS Grampian,Dr Gray's Hospital - ED,Emergency Department,2234,hrs_more_waiting_8,4
2016,2016Q3,07,N411H,NHS Grampian,Dr Gray's Hospital - ED,Emergency Department,2234,hrs_more_waiting_12,0
2016,2016Q3,07,C313H,NHS Greater Glasgow & Clyde,Inverclyde Royal Hospital - ED,Emergency Department,2663,hrs_waiting_4,2570
2016,2016Q3,07,C313H,NHS Greater Glasgow & Clyde,Inverclyde Royal Hospital - ED,Emergency Department,2663,hrs_more_waiting_8,1
2016,2016Q3,07,C313H,NHS Greater Glasgow & Clyde,Inverclyde Royal Hospital - ED,Emergency Department,2663,hrs_more_waiting_12,0
2016,2016Q3,07,C418H,NHS Greater Glasgow & Clyde,Royal Alexandra Hospital - ED,Emergency Department,5716,hrs_waiting_4,5164
2016,2016Q3,07,C418H,NHS Greater Glasgow & Clyde,Royal Alexandra Hospital - ED,Emergency Department,5716,hrs_more_waiting_8,35
2016,2016Q3,07,C418H,NHS Greater Glasgow & Clyde,Royal Alexandra Hospital - ED,Emergency Department,5716,hrs_more_waiting_12,1
2016,2016Q3,07,G107H,NHS Greater Glasgow & Clyde,Glasgow Royal Infirmary - ED,Emergency Department,7661,hrs_waiting_4,6555
2016,2016Q3,07,G107H,NHS Greater Glasgow & Clyde,Glasgow Royal Infirmary - ED,Emergency Department,7661,hrs_more_waiting_8,28
2016,2016Q3,07,G107H,NHS Greater Glasgow & Clyde,Glasgow Royal Infirmary - ED,Emergency Department,7661,hrs_more_waiting_12,0
2016,2016Q3,07,G405H,NHS Greater Glasgow & Clyde,Southern General Hospital - ED,Emergency Department,8077,hrs_waiting_4,7477
2016,2016Q3,07,G405H,NHS Greater Glasgow & Clyde,Queen Elizabeth University Hospital - ED,Emergency Department,8077,hrs_waiting_4,7477
2016,2016Q3,07,G405H,NHS Greater Glasgow & Clyde,Southern General Hospital - ED,Emergency Department,8077,hrs_more_waiting_8,16
2016,2016Q3,07,G405H,NHS Greater Glasgow & Clyde,Queen Elizabeth University Hospital - ED,Emergency Department,8077,hrs_more_waiting_8,16
2016,2016Q3,07,G405H,NHS Greater Glasgow & Clyde,Southern General Hospital - ED,Emergency Department,8077,hrs_more_waiting_12,1
2016,2016Q3,07,G405H,NHS Greater Glasgow & Clyde,Queen Elizabeth University Hospital - ED,Emergency Department,8077,hrs_more_waiting_12,1
2016,2016Q3,07,G513H,NHS Greater Glasgow & Clyde,Royal Hospital For Children Glasgow - ED,Emergency Department,3745,hrs_waiting_4,3730
2016,2016Q3,07,G513H,NHS Greater Glasgow & Clyde,Royal Hospital For Children Glasgow - ED,Emergency Department,3745,hrs_more_waiting_8,0
2016,2016Q3,07,G513H,NHS Greater Glasgow & Clyde,Royal Hospital For Children Glasgow - ED,Emergency Department,3745,hrs_more_waiting_12,0
2016,2016Q3,07,C121H,NHS Highland,Lorn & Islands Hospital - ED,Emergency Department,717,hrs_waiting_4,705
2016,2016Q3,07,C121H,NHS Highland,Lorn & Islands Hospital - ED,Emergency Department,717,hrs_more_waiting_8,0
2016,2016Q3,07,C121H,NHS Highland,Lorn & Islands Hospital - ED,Emergency Department,717,hrs_more_waiting_12,0
2016,2016Q3,07,H103H,NHS Highland,Caithness General Hospital - ED,Emergency Department,621,hrs_waiting_4,611
2016,2016Q3,07,H103H,NHS Highland,Caithness General Hospital - ED,Emergency Department,621,hrs_more_waiting_8,0
2016,2016Q3,07,H103H,NHS Highland,Caithness General Hospital - ED,Emergency Department,621,hrs_more_waiting_12,0
2016,2016Q3,07,H202H,NHS Highland,Raigmore Hospital - ED,Emergency Department,3006,hrs_waiting_4,2859
2016,2016Q3,07,H202H,NHS Highland,Raigmore Hospital - ED,Emergency Department,3006,hrs_more_waiting_8,1
2016,2016Q3,07,H202H,NHS Highland,Raigmore Hospital - ED,Emergency Department,3006,hrs_more_waiting_12,0
2016,2016Q3,07,H212H,NHS Highland,Belford Hospital - ED,Emergency Department,896,hrs_waiting_4,857
2016,2016Q3,07,H212H,NHS Highland,Belford Hospital - ED,Emergency Department,896,hrs_more_waiting_8,0
2016,2016Q3,07,H212H,NHS Highland,Belford Hospital - ED,Emergency Department,896,hrs_more_waiting_12,0
2016,2016Q3,07,L106H,NHS Lanarkshire,University Hospital Monklands - ED,Emergency Department,5605,hrs_waiting_4,5391
2016,2016Q3,07,L106H,NHS Lanarkshire,University Hospital Monklands - ED,Emergency Department,5605,hrs_more_waiting_8,2
2016,2016Q3,07,L106H,NHS Lanarkshire,University Hospital Monklands - ED,Emergency Department,5605,hrs_more_waiting_12,0
2016,2016Q3,07,L302H,NHS Lanarkshire,University Hospital Hairmyres - ED,Emergency Department,5322,hrs_waiting_4,5016
2016,2016Q3,07,L302H,NHS Lanarkshire,University Hospital Hairmyres - ED,Emergency Department,5322,hrs_more_waiting_8,41
2016,2016Q3,07,L302H,NHS Lanarkshire,University Hospital Hairmyres - ED,Emergency Department,5322,hrs_more_waiting_12,9
2016,2016Q3,07,L308H,NHS Lanarkshire,University Hospital Wishaw - ED,Emergency Department,5221,hrs_waiting_4,4797
2016,2016Q3,07,L308H,NHS Lanarkshire,University Hospital Wishaw - ED,Emergency Department,5221,hrs_more_waiting_8,22
2016,2016Q3,07,L308H,NHS Lanarkshire,University Hospital Wishaw - ED,Emergency Department,5221,hrs_more_waiting_12,0
2016,2016Q3,07,S308H,NHS Lothian,St John's Hospital - ED,Emergency Department,4396,hrs_waiting_4,4255
2016,2016Q3,07,S308H,NHS Lothian,St John's Hospital - ED,Emergency Department,4396,hrs_more_waiting_8,11
2016,2016Q3,07,S308H,NHS Lothian,St John's Hospital - ED,Emergency Department,4396,hrs_more_waiting_12,0
2016,2016Q3,07,S314H,NHS Lothian,Royal Infirmary Of Edinburgh - ED,Emergency Department,9865,hrs_waiting_4,9590
2016,2016Q3,07,S314H,NHS Lothian,Royal Infirmary Of Edinburgh - ED,Emergency Department,9865,hrs_more_waiting_8,13
2016,2016Q3,07,S314H,NHS Lothian,Royal Infirmary Of Edinburgh - ED,Emergency Department,9865,hrs_more_waiting_12,2
2016,2016Q3,07,S319H,NHS Lothian,Royal Hospital for Children and Young People Edinburgh - ED,Emergency Department,3348,hrs_waiting_4,3316
2016,2016Q3,07,S319H,NHS Lothian,Royal Hospital for Children and Young People Edinburgh - ED,Emergency Department,3348,hrs_more_waiting_8,1
2016,2016Q3,07,S319H,NHS Lothian,Royal Hospital for Children and Young People Edinburgh - ED,Emergency Department,3348,hrs_more_waiting_12,0
2016,2016Q3,07,R103H,NHS Orkney,Balfour Hospital - MIU,Emergency Department,547,hrs_waiting_4,536
2016,2016Q3,07,R103H,NHS Orkney,Balfour Hospital - ED,Emergency Department,547,hrs_waiting_4,536
2016,2016Q3,07,R103H,NHS Orkney,Balfour Hospital - MIU,Emergency Department,547,hrs_more_waiting_8,0
2016,2016Q3,07,R103H,NHS Orkney,Balfour Hospital - ED,Emergency Department,547,hrs_more_waiting_8,0
2016,2016Q3,07,R103H,NHS Orkney,Balfour Hospital - MIU,Emergency Department,547,hrs_more_waiting_12,0
2016,2016Q3,07,R103H,NHS Orkney,Balfour Hospital - ED,Emergency Department,547,hrs_more_waiting_12,0
2016,2016Q3,07,Z102H,NHS Shetland,Gilbert Bain Hospital - ED,Emergency Department,665,hrs_waiting_4,636
2016,2016Q3,07,Z102H,NHS Shetland,Gilbert Bain Hospital - ED,Emergency Department,665,hrs_more_waiting_8,0
2016,2016Q3,07,Z102H,NHS Shetland,Gilbert Bain Hospital - ED,Emergency Department,665,hrs_more_waiting_12,0
2016,2016Q3,07,T101H,NHS Tayside,Ninewells Hospital - ED,Emergency Department,4054,hrs_waiting_4,4027
2016,2016Q3,07,T101H,NHS Tayside,Ninewells Hospital - ED,Emergency Department,4054,hrs_more_waiting_8,0
2016,2016Q3,07,T101H,NHS Tayside,Ninewells Hospital - ED,Emergency Department,4054,hrs_more_waiting_12,0
2016,2016Q3,07,T202H,NHS Tayside,Perth Royal Infirmary - ED,Emergency Department,2262,hrs_waiting_4,2247
2016,2016Q3,07,T202H,NHS Tayside,Perth Royal Infirmary - ED,Emergency Department,2262,hrs_more_waiting_8,0
2016,2016Q3,07,T202H,NHS Tayside,Perth Royal Infirmary - ED,Emergency Department,2262,hrs_more_waiting_12,0
2016,2016Q3,07,W107H,NHS Western Isles,Western Isles Hospital - ED,Emergency Department,667,hrs_waiting_4,664
2016,2016Q3,07,W107H,NHS Western Isles,Western Isles Hospital - ED,Emergency Department,667,hrs_more_waiting_8,0
2016,2016Q3,07,W107H,NHS Western Isles,Western Isles Hospital - ED,Emergency Department,667,hrs_more_waiting_12,0
2016,2016Q3,08,A111H,NHS Ayrshire & Arran,University Hospital Crosshouse - ED,Emergency Department,5891,hrs_waiting_4,5692
2016,2016Q3,08,A111H,NHS Ayrshire & Arran,University Hospital Crosshouse - ED,Emergency Department,5891,hrs_more_waiting_8,16
2016,2016Q3,08,A111H,NHS Ayrshire & Arran,University Hospital Crosshouse - ED,Emergency Department,5891,hrs_more_waiting_12,0
2016,2016Q3,08,A210H,NHS Ayrshire & Arran,University Hospital Ayr - ED,Emergency Department,3985,hrs_waiting_4,3554
2016,2016Q3,08,A210H,NHS Ayrshire & Arran,University Hospital Ayr - ED,Emergency Department,3985,hrs_more_waiting_8,50
2016,2016Q3,08,A210H,NHS Ayrshire & Arran,University Hospital Ayr - ED,Emergency Department,3985,hrs_more_waiting_12,16
2016,2016Q3,08,B120H,NHS Borders,Borders General Hospital - ED,Emergency Department,2555,hrs_waiting_4,2400
2016,2016Q3,08,B120H,NHS Borders,Borders General Hospital - ED,Emergency Department,2555,hrs_more_waiting_8,6
2016,2016Q3,08,B120H,NHS Borders,Borders General Hospital - ED,Emergency Department,2555,hrs_more_waiting_12,0
2016,2016Q3,08,Y144H,NHS Dumfries & Galloway,Galloway Community Hospital - ED,Emergency Department,1094,hrs_waiting_4,1050
2016,2016Q3,08,Y144H,NHS Dumfries & Galloway,Galloway Community Hospital - ED,Emergency Department,1094,hrs_more_waiting_8,1
2016,2016Q3,08,Y144H,NHS Dumfries & Galloway,Galloway Community Hospital - ED,Emergency Department,1094,hrs_more_waiting_12,0
2016,2016Q3,08,Y146H,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary - ED,Emergency Department,3274,hrs_waiting_4,3102
2016,2016Q3,08,Y146H,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary - ED,Emergency Department,3274,hrs_more_waiting_8,1
2016,2016Q3,08,Y146H,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary - ED,Emergency Department,3274,hrs_more_waiting_12,0
2016,2016Q3,08,F704H,NHS Fife,Victoria Hospital (NHS Fife) - ED,Emergency Department,5636,hrs_waiting_4,5354
2016,2016Q3,08,F704H,NHS Fife,Victoria Hospital (NHS Fife) - ED,Emergency Department,5636,hrs_more_waiting_8,11
2016,2016Q3,08,F704H,NHS Fife,Victoria Hospital (NHS Fife) - ED,Emergency Department,5636,hrs_more_waiting_12,0
2016,2016Q3,08,V217H,NHS Forth Valley,Forth Valley Royal Hospital - ED,Emergency Department,5514,hrs_waiting_4,5184
2016,2016Q3,08,V217H,NHS Forth Valley,Forth Valley Royal Hospital - ED,Emergency Department,5514,hrs_more_waiting_8,4
2016,2016Q3,08,V217H,NHS Forth Valley,Forth Valley Royal Hospital - ED,Emergency Department,5514,hrs_more_waiting_12,0
2016,2016Q3,08,N101H,NHS Grampian,Aberdeen Royal Infirmary - ED,Emergency Department,4946,hrs_waiting_4,4680
2016,2016Q3,08,N101H,NHS Grampian,Aberdeen Royal Infirmary - ED,Emergency Department,4946,hrs_more_waiting_8,4
2016,2016Q3,08,N101H,NHS Grampian,Aberdeen Royal Infirmary - ED,Emergency Department,4946,hrs_more_waiting_12,0
2016,2016Q3,08,N121H,NHS Grampian,Royal Aberdeen Children's Hospital - ED,Emergency Department,1404,hrs_waiting_4,1391
2016,2016Q3,08,N121H,NHS Grampian,Royal Aberdeen Children's Hospital - ED,Emergency Department,1404,hrs_more_waiting_8,0
2016,2016Q3,08,N121H,NHS Grampian,Royal Aberdeen Children's Hospital - ED,Emergency Department,1404,hrs_more_waiting_12,0
2016,2016Q3,08,N411H,NHS Grampian,Dr Gray's Hospital - ED,Emergency Department,2240,hrs_waiting_4,2141
2016,2016Q3,08,N411H,NHS Grampian,Dr Gray's Hospital - ED,Emergency Department,2240,hrs_more_waiting_8,3
2016,2016Q3,08,N411H,NHS Grampian,Dr Gray's Hospital - ED,Emergency Department,2240,hrs_more_waiting_12,0
2016,2016Q3,08,C313H,NHS Greater Glasgow & Clyde,Inverclyde Royal Hospital - ED,Emergency Department,2820,hrs_waiting_4,2638
2016,2016Q3,08,C313H,NHS Greater Glasgow & Clyde,Inverclyde Royal Hospital - ED,Emergency Department,2820,hrs_more_waiting_8,6
2016,2016Q3,08,C313H,NHS Greater Glasgow & Clyde,Inverclyde Royal Hospital - ED,Emergency Department,2820,hrs_more_waiting_12,0
2016,2016Q3,08,C418H,NHS Greater Glasgow & Clyde,Royal Alexandra Hospital - ED,Emergency Department,6023,hrs_waiting_4,5493
2016,2016Q3,08,C418H,NHS Greater Glasgow & Clyde,Royal Alexandra Hospital - ED,Emergency Department,6023,hrs_more_waiting_8,23
2016,2016Q3,08,C418H,NHS Greater Glasgow & Clyde,Royal Alexandra Hospital - ED,Emergency Department,6023,hrs_more_waiting_12,0
2016,2016Q3,08,G107H,NHS Greater Glasgow & Clyde,Glasgow Royal Infirmary - ED,Emergency Department,7969,hrs_waiting_4,7194
2016,2016Q3,08,G107H,NHS Greater Glasgow & Clyde,Glasgow Royal Infirmary - ED,Emergency Department,7969,hrs_more_waiting_8,12
2016,2016Q3,08,G107H,NHS Greater Glasgow & Clyde,Glasgow Royal Infirmary - ED,Emergency Department,7969,hrs_more_waiting_12,0
2016,2016Q3,08,G405H,NHS Greater Glasgow & Clyde,Southern General Hospital - ED,Emergency Department,8244,hrs_waiting_4,7136
2016,2016Q3,08,G405H,NHS Greater Glasgow & Clyde,Queen Elizabeth University Hospital - ED,Emergency Department,8244,hrs_waiting_4,7136
2016,2016Q3,08,G405H,NHS Greater Glasgow & Clyde,Southern General Hospital - ED,Emergency Department,8244,hrs_more_waiting_8,7
2016,2016Q3,08,G405H,NHS Greater Glasgow & Clyde,Queen Elizabeth University Hospital - ED,Emergency Department,8244,hrs_more_waiting_8,7
2016,2016Q3,08,G405H,NHS Greater Glasgow & Clyde,Southern General Hospital - ED,Emergency Department,8244,hrs_more_waiting_12,0
2016,2016Q3,08,G405H,NHS Greater Glasgow & Clyde,Queen Elizabeth University Hospital - ED,Emergency Department,8244,hrs_more_waiting_12,0
2016,2016Q3,08,G513H,NHS Greater Glasgow & Clyde,Royal Hospital For Children Glasgow - ED,Emergency Department,4452,hrs_waiting_4,4440
2016,2016Q3,08,G513H,NHS Greater Glasgow & Clyde,Royal Hospital For Children Glasgow - ED,Emergency Department,4452,hrs_more_waiting_8,0
2016,2016Q3,08,G513H,NHS Greater Glasgow & Clyde,Royal Hospital For Children Glasgow - ED,Emergency Department,4452,hrs_more_waiting_12,0
2016,2016Q3,08,C121H,NHS Highland,Lorn & Islands Hospital - ED,Emergency Department,748,hrs_waiting_4,741
2016,2016Q3,08,C121H,NHS Highland,Lorn & Islands Hospital - ED,Emergency Department,748,hrs_more_waiting_8,0
2016,2016Q3,08,C121H,NHS Highland,Lorn & Islands Hospital - ED,Emergency Department,748,hrs_more_waiting_12,0
2016,2016Q3,08,H103H,NHS Highland,Caithness General Hospital - ED,Emergency Department,645,hrs_waiting_4,613
2016,2016Q3,08,H103H,NHS Highland,Caithness General Hospital - ED,Emergency Department,645,hrs_more_waiting_8,2
2016,2016Q3,08,H103H,NHS Highland,Caithness General Hospital - ED,Emergency Department,645,hrs_more_waiting_12,0
2016,2016Q3,08,H202H,NHS Highland,Raigmore Hospital - ED,Emergency Department,3324,hrs_waiting_4,3053
2016,2016Q3,08,H202H,NHS Highland,Raigmore Hospital - ED,Emergency Department,3324,hrs_more_waiting_8,13
2016,2016Q3,08,H202H,NHS Highland,Raigmore Hospital - ED,Emergency Department,3324,hrs_more_waiting_12,0
2016,2016Q3,08,H212H,NHS Highland,Belford Hospital - ED,Emergency Department,927,hrs_waiting_4,868
2016,2016Q3,08,H212H,NHS Highland,Belford Hospital - ED,Emergency Department,927,hrs_more_waiting_8,4
2016,2016Q3,08,H212H,NHS Highland,Belford Hospital - ED,Emergency Department,927,hrs_more_waiting_12,0
2016,2016Q3,08,L106H,NHS Lanarkshire,University Hospital Monklands - ED,Emergency Department,5806,hrs_waiting_4,5626
2016,2016Q3,08,L106H,NHS Lanarkshire,University Hospital Monklands - ED,Emergency Department,5806,hrs_more_waiting_8,2
2016,2016Q3,08,L106H,NHS Lanarkshire,University Hospital Monklands - ED,Emergency Department,5806,hrs_more_waiting_12,0
2016,2016Q3,08,L302H,NHS Lanarkshire,University Hospital Hairmyres - ED,Emergency Department,5387,hrs_waiting_4,5036
2016,2016Q3,08,L302H,NHS Lanarkshire,University Hospital Hairmyres - ED,Emergency Department,5387,hrs_more_waiting_8,6
2016,2016Q3,08,L302H,NHS Lanarkshire,University Hospital Hairmyres - ED,Emergency Department,5387,hrs_more_waiting_12,0
2016,2016Q3,08,L308H,NHS Lanarkshire,University Hospital Wishaw - ED,Emergency Department,5509,hrs_waiting_4,5028
2016,2016Q3,08,L308H,NHS Lanarkshire,University Hospital Wishaw - ED,Emergency Department,5509,hrs_more_waiting_8,39
2016,2016Q3,08,L308H,NHS Lanarkshire,University Hospital Wishaw - ED,Emergency Department,5509,hrs_more_waiting_12,3
2016,2016Q3,08,S308H,NHS Lothian,St John's Hospital - ED,Emergency Department,4617,hrs_waiting_4,4458
2016,2016Q3,08,S308H,NHS Lothian,St John's Hospital - ED,Emergency Department,4617,hrs_more_waiting_8,11
2016,2016Q3,08,S308H,NHS Lothian,St John's Hospital - ED,Emergency Department,4617,hrs_more_waiting_12,1
2016,2016Q3,08,S314H,NHS Lothian,Royal Infirmary Of Edinburgh - ED,Emergency Department,10729,hrs_waiting_4,10127
2016,2016Q3,08,S314H,NHS Lothian,Royal Infirmary Of Edinburgh - ED,Emergency Department,10729,hrs_more_waiting_8,54
2016,2016Q3,08,S314H,NHS Lothian,Royal Infirmary Of Edinburgh - ED,Emergency Department,10729,hrs_more_waiting_12,4
2016,2016Q3,08,S319H,NHS Lothian,Royal Hospital for Children and Young People Edinburgh - ED,Emergency Department,3676,hrs_waiting_4,3629
2016,2016Q3,08,S319H,NHS Lothian,Royal Hospital for Children and Young People Edinburgh - ED,Emergency Department,3676,hrs_more_waiting_8,1
2016,2016Q3,08,S319H,NHS Lothian,Royal Hospital for Children and Young People Edinburgh - ED,Emergency Department,3676,hrs_more_waiting_12,0
2016,2016Q3,08,R103H,NHS Orkney,Balfour Hospital - MIU,Emergency Department,512,hrs_waiting_4,500
2016,2016Q3,08,R103H,NHS Orkney,Balfour Hospital - ED,Emergency Department,512,hrs_waiting_4,500
2016,2016Q3,08,R103H,NHS Orkney,Balfour Hospital - MIU,Emergency Department,512,hrs_more_waiting_8,0
2016,2016Q3,08,R103H,NHS Orkney,Balfour Hospital - ED,Emergency Department,512,hrs_more_waiting_8,0
2016,2016Q3,08,R103H,NHS Orkney,Balfour Hospital - MIU,Emergency Department,512,hrs_more_waiting_12,0
2016,2016Q3,08,R103H,NHS Orkney,Balfour Hospital - ED,Emergency Department,512,hrs_more_waiting_12,0
2016,2016Q3,08,Z102H,NHS Shetland,Gilbert Bain Hospital - ED,Emergency Department,603,hrs_waiting_4,577
2016,2016Q3,08,Z102H,NHS Shetland,Gilbert Bain Hospital - ED,Emergency Department,603,hrs_more_waiting_8,2
2016,2016Q3,08,Z102H,NHS Shetland,Gilbert Bain Hospital - ED,Emergency Department,603,hrs_more_waiting_12,0
2016,2016Q3,08,T101H,NHS Tayside,Ninewells Hospital - ED,Emergency Department,4310,hrs_waiting_4,4235
2016,2016Q3,08,T101H,NHS Tayside,Ninewells Hospital - ED,Emergency Department,4310,hrs_more_waiting_8,1
2016,2016Q3,08,T101H,NHS Tayside,Ninewells Hospital - ED,Emergency Department,4310,hrs_more_waiting_12,0
2016,2016Q3,08,T202H,NHS Tayside,Perth Royal Infirmary - ED,Emergency Department,2243,hrs_waiting_4,2187
2016,2016Q3,08,T202H,NHS Tayside,Perth Royal Infirmary - ED,Emergency Department,2243,hrs_more_waiting_8,0
2016,2016Q3,08,T202H,NHS Tayside,Perth Royal Infirmary - ED,Emergency Department,2243,hrs_more_waiting_12,0
2016,2016Q3,08,W107H,NHS Western Isles,Western Isles Hospital - ED,Emergency Department,586,hrs_waiting_4,583
2016,2016Q3,08,W107H,NHS Western Isles,Western Isles Hospital - ED,Emergency Department,586,hrs_more_waiting_8,0
2016,2016Q3,08,W107H,NHS Western Isles,Western Isles Hospital - ED,Emergency Department,586,hrs_more_waiting_12,0
2016,2016Q3,09,A111H,NHS Ayrshire & Arran,University Hospital Crosshouse - ED,Emergency Department,5988,hrs_waiting_4,5564
2016,2016Q3,09,A111H,NHS Ayrshire & Arran,University Hospital Crosshouse - ED,Emergency Department,5988,hrs_more_waiting_8,69
2016,2016Q3,09,A111H,NHS Ayrshire & Arran,University Hospital Crosshouse - ED,Emergency Department,5988,hrs_more_waiting_12,14
2016,2016Q3,09,A210H,NHS Ayrshire & Arran,University Hospital Ayr - ED,Emergency Department,3811,hrs_waiting_4,3590
2016,2016Q3,09,A210H,NHS Ayrshire & Arran,University Hospital Ayr - ED,Emergency Department,3811,hrs_more_waiting_8,11
2016,2016Q3,09,A210H,NHS Ayrshire & Arran,University Hospital Ayr - ED,Emergency Department,3811,hrs_more_waiting_12,1
2016,2016Q3,09,B120H,NHS Borders,Borders General Hospital - ED,Emergency Department,2506,hrs_waiting_4,2374
2016,2016Q3,09,B120H,NHS Borders,Borders General Hospital - ED,Emergency Department,2506,hrs_more_waiting_8,3
2016,2016Q3,09,B120H,NHS Borders,Borders General Hospital - ED,Emergency Department,2506,hrs_more_waiting_12,0
2016,2016Q3,09,Y144H,NHS Dumfries & Galloway,Galloway Community Hospital - ED,Emergency Department,1008,hrs_waiting_4,973
2016,2016Q3,09,Y144H,NHS Dumfries & Galloway,Galloway Community Hospital - ED,Emergency Department,1008,hrs_more_waiting_8,4
2016,2016Q3,09,Y144H,NHS Dumfries & Galloway,Galloway Community Hospital - ED,Emergency Department,1008,hrs_more_waiting_12,0
2016,2016Q3,09,Y146H,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary - ED,Emergency Department,2915,hrs_waiting_4,2769
2016,2016Q3,09,Y146H,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary - ED,Emergency Department,2915,hrs_more_waiting_8,0
2016,2016Q3,09,Y146H,NHS Dumfries & Galloway,Dumfries & Galloway Royal Infirmary - ED,Emergency Department,2915,hrs_more_waiting_12,0
2016,2016Q3,09,F704H,NHS Fife,Victoria Hospital (NHS Fife) - ED,Emergency Department,5603,hrs_waiting_4,5245
2016,2016Q3,09,F704H,NHS Fife,Victoria Hospital (NHS Fife) - ED,Emergency Department,5603,hrs_more_waiting_8,20
2016,2016Q3,09,F704H,NHS Fife,Victoria Hospital (NHS Fife) - ED,Emergency Department,5603,hrs_more_waiting_12,0
2016,2016Q3,09,V217H,NHS Forth Valley,Forth Valley Royal Hospital - ED,Emergency Department,5406,hrs_waiting_4,5129
2016,2016Q3,09,V217H,NHS Forth Valley,Forth Valley Royal Hospital - ED,Emergency Department,5406,hrs_more_waiting_8,3
2016,2016Q3,09,V217H,NHS Forth Valley,Forth Valley Royal Hospital - ED,Emergency Department,5406,hrs_more_waiting_12,0
2016,2016Q3,09,N101H,NHS Grampian,Aberdeen Royal Infirmary - ED,Emergency Department,5034,hrs_waiting_4,4579
