quarter,quarter_qf,hb,hbqf,location,location_qf,admission_type,admission_type_qf,sex,age,episodes,length_of_episode,average_length_of_episode,average_length_of_episode_qf,stays,length_of_stay,average_length_of_stay,average_length_of_stay_qf,total_stays_per_quarter_age,total_stays_per_quarter_sex
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,5,1,NA,5,13,2.6,NA,32251,202497
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,0,0,NA,z,0,0,NA,z,30179,202644
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,13,2.6,NA,5,5,1,NA,24207,144876
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,23,4.6,NA,5,22,4.4,NA,29410,178317
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,5,1,NA,0,31,NA,z,26203,172722
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,88,17.6,NA,0,0,NA,z,26313,169568
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,0,10,NA,z,0,107,NA,z,30089,191481
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,30-39 years,5,18,3.6,NA,5,5,1,NA,30069,184949
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,5,65,13,NA,5,28,5.6,NA,38399,193692
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,11,1.1,NA,5,105,21,NA,35507,191758
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,11,8,0.727272727272727,NA,10,46,4.6,NA,35049,190297
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,9,0.9,NA,5,33,6.6,NA,35840,190694
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,9,0.9,NA,10,108,10.8,NA,36776,190135
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,22,2.2,NA,5,32,6.4,NA,34836,193702
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,9,0.9,NA,10,22,2.2,NA,33801,196466
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,28,2.8,NA,10,40,4,NA,35468,192358
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,34,3.4,NA,5,39,7.8,NA,36020,191186
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,41,4.1,NA,5,74,14.8,NA,34376,195002
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,5,12,2.4,NA,5,10,2,NA,34943,197208
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,12,12,1,NA,5,22,4.4,NA,36499,200036
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,5,9,1.8,NA,5,13,2.6,NA,36793,202497
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,5,23,4.6,NA,5,27,5.4,NA,34220,202644
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,5,0.5,NA,10,35,3.5,NA,31147,188180
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,5,39,7.8,NA,5,17,3.4,NA,28596,144876
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,11,20,1.81818181818182,NA,10,24,2.4,NA,33364,178317
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,5,45,9,NA,5,10,2,NA,30813,172722
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,10,40,4,NA,5,102,20.4,NA,31100,169568
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,5,7,1.4,NA,5,17,3.4,NA,35572,191481
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,40-49 years,5,10,2,NA,5,20,4,NA,33270,184949
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,15,18,1.2,NA,15,122,8.13333333333333,NA,53482,193692
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,12,34,2.83333333333333,NA,10,41,4.1,NA,51629,191758
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,17,31,1.82352941176471,NA,15,63,4.2,NA,50781,190297
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,15,52,3.46666666666667,NA,15,135,9,NA,52442,190694
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,23,30,1.30434782608696,NA,15,58,3.86666666666667,NA,53652,190135
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,24,42,1.75,NA,20,69,3.45,NA,52414,193702
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,15,32,2.13333333333333,NA,15,58,3.86666666666667,NA,51714,196466
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,20,26,1.3,NA,20,89,4.45,NA,52629,192358
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,16,70,4.375,NA,10,62,6.2,NA,52525,191186
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,24,73,3.04166666666667,NA,20,205,10.25,NA,53507,195002
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,15,19,1.26666666666667,NA,10,64,6.4,NA,53787,197208
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,15,91,6.06666666666667,NA,15,51,3.4,NA,54870,200036
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,15,15,1,NA,15,153,10.2,NA,55904,202497
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,20,56,2.8,NA,15,88,5.86666666666667,NA,54193,202644
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,15,24,1.6,NA,10,132,13.2,NA,50257,188180
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,30,50,1.66666666666667,NA,20,37,1.85,NA,44257,144876
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,23,43,1.8695652173913,NA,20,120,6,NA,50646,178317
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,21,55,2.61904761904762,NA,15,60,4,NA,49447,172722
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,34,79,2.32352941176471,NA,25,117,4.68,NA,48284,169568
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,24,50,2.08333333333333,NA,17,158,9.29411764705882,NA,53504,191481
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,50-59 years,29,84,2.89655172413793,NA,25,159,6.36,NA,50776,184949
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,18,46,2.55555555555556,NA,15,140,9.33333333333333,NA,61029,193692
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,26,135,5.19230769230769,NA,22,183,8.31818181818182,NA,59813,191758
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,17,40,2.35294117647059,NA,15,83,5.53333333333333,NA,58396,190297
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,15,61,4.06666666666667,NA,15,63,4.2,NA,59424,190694
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,15,35,2.33333333333333,NA,15,71,4.73333333333333,NA,58287,190135
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,20,89,4.45,NA,15,467,31.1333333333333,NA,60594,193702
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,20,73,3.65,NA,15,78,5.2,NA,60831,196466
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,20,26,1.3,NA,15,239,15.9333333333333,NA,60084,192358
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,25,95,3.8,NA,20,129,6.45,NA,59422,191186
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,23,31,1.34782608695652,NA,15,68,4.53333333333333,NA,61584,195002
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,22,48,2.18181818181818,NA,15,95,6.33333333333333,NA,61996,197208
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,28,61,2.17857142857143,NA,20,89,4.45,NA,63802,200036
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,22,46,2.09090909090909,NA,15,84,5.6,NA,62973,202497
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,29,85,2.93103448275862,NA,20,90,4.5,NA,63875,202644
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,15,33,2.2,NA,15,163,10.8666666666667,NA,58209,188180
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,19,46,2.42105263157895,NA,15,58,3.86666666666667,NA,48077,144876
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,20,63,3.15,NA,15,139,9.26666666666667,NA,57491,178317
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,24,77,3.20833333333333,NA,20,127,6.35,NA,54800,172722
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,31,48,1.54838709677419,NA,24,105,4.375,NA,54798,169568
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,28,55,1.96428571428571,NA,23,107,4.65217391304348,NA,60849,191481
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,60-69 years,20,62,3.1,NA,15,193,12.8666666666667,NA,59661,184949
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,22,91,4.13636363636364,NA,20,141,7.05,NA,68866,193692
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,18,68,3.77777777777778,NA,15,105,7,NA,70518,191758
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,25,33,1.32,NA,20,195,9.75,NA,70490,190297
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,24,90,3.75,NA,20,241,12.05,NA,71234,190694
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,25,53,2.12,NA,20,105,5.25,NA,70955,190135
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,30,60,2,NA,30,225,7.5,NA,74454,193702
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,21,55,2.61904761904762,NA,20,141,7.05,NA,75151,196466
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,25,107,4.28,NA,20,164,8.2,NA,73508,192358
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,27,142,5.25925925925926,NA,25,240,9.6,NA,71925,191186
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,19,65,3.42105263157895,NA,15,200,13.3333333333333,NA,74999,195002
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,25,36,1.44,NA,20,88,4.4,NA,74914,197208
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,30,144,4.8,NA,25,257,10.28,NA,75983,200036
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,25,124,4.96,NA,20,149,7.45,NA,76182,202497
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,24,69,2.875,NA,21,92,4.38095238095238,NA,79488,202644
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,23,55,2.39130434782609,NA,15,138,9.2,NA,73420,188180
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,25,69,2.76,NA,20,80,4,NA,56883,144876
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,15,44,2.93333333333333,NA,10,106,10.6,NA,69821,178317
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,24,46,1.91666666666667,NA,20,117,5.85,NA,68542,172722
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,25,68,2.72,NA,20,109,5.45,NA,66079,169568
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,15,33,2.2,NA,12,85,7.08333333333333,NA,74045,191481
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,70-79 years,25,38,1.52,NA,15,77,5.13333333333333,NA,72493,184949
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,19,88,4.63157894736842,NA,15,223,14.8666666666667,NA,61353,193692
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,20,48,2.4,NA,15,104,6.93333333333333,NA,64942,191758
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,10,27,2.7,NA,10,96,9.6,NA,64997,190297
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,15,50,3.33333333333333,NA,10,39,3.9,NA,62421,190694
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,15,19,1.26666666666667,NA,10,54,5.4,NA,61011,190135
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,20,26,1.3,NA,15,174,11.6,NA,66032,193702
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,15,22,1.46666666666667,NA,15,330,22,NA,66906,196466
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,15,16,1.06666666666667,NA,15,73,4.86666666666667,NA,63890,192358
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,5,8,1.6,NA,5,20,4,NA,62253,191186
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,12,19,1.58333333333333,NA,10,52,5.2,NA,66184,195002
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,10,33,3.3,NA,5,44,8.8,NA,66491,197208
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,13,20,1.53846153846154,NA,10,124,12.4,NA,65892,200036
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,12,13,1.08333333333333,NA,10,75,7.5,NA,66110,202497
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,10,43,4.3,NA,10,37,3.7,NA,69485,202644
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,13,23,1.76923076923077,NA,10,76,7.6,NA,65275,188180
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,15,36,2.4,NA,15,159,10.6,NA,48693,144876
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,10,21,2.1,NA,5,84,16.8,NA,59310,178317
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,13,26,2,NA,10,70,7,NA,59716,172722
2021Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,15,30,2,NA,10,58,5.8,NA,56691,169568
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,10,22,2.2,NA,10,93,9.3,NA,63030,191481
2021Q3,p,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,80-89 years,10,21,2.1,NA,10,57,5.7,NA,61380,184949
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,5,5,1,NA,5,9,1.8,NA,17460,191758
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,0,NA,z,0,5,NA,z,18215,190297
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,5,0,0,NA,5,12,2.4,NA,16411,190694
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,0,NA,z,0,5,NA,z,17827,193702
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,0,NA,z,0,11,NA,z,16260,192358
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,0,NA,z,0,6,NA,z,17995,197208
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,0,NA,z,0,18,NA,z,17399,202497
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,0,NA,z,0,10,NA,z,18351,188180
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,5,NA,z,0,5,NA,z,12408,144876
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,0,NA,z,0,5,NA,z,15636,178317
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,0,NA,z,0,5,NA,z,16240,172722
2021Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Female,90 years and over,0,0,NA,z,0,0,NA,z,16930,191481
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,10-19 years,0,23,NA,z,0,22,NA,z,11097,178089
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,10-19 years,0,7,NA,z,0,5,NA,z,10086,172538
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,10-19 years,0,0,NA,z,0,0,NA,z,9880,177139
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,10-19 years,0,0,NA,z,0,6,NA,z,10699,178359
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,10-19 years,0,83,NA,z,0,110,NA,z,9939,179635
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,10-19 years,0,0,NA,z,0,0,NA,z,10573,178481
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,10-19 years,0,7,NA,z,0,0,NA,z,7323,163740
2016Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,0,42,NA,z,0,0,NA,z,28088,178089
2016Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,0,5,NA,z,0,10,NA,z,26513,175214
2017Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,5,21,4.2,NA,5,12,2.4,NA,24641,172538
2017Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,10,52,5.2,NA,5,24,4.8,NA,26824,177139
2017Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,5,15,3,NA,5,21,4.2,NA,26939,178359
2017Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,0,12,NA,z,0,6,NA,z,25758,179046
2018Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,0,10,NA,z,0,23,NA,z,24163,175499
2018Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,0,6,NA,z,0,6,NA,z,26604,179635
2018Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,0,28,NA,z,0,0,NA,z,26720,178481
2018Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,5,26,5.2,NA,5,122,24.4,NA,26501,182454
2019Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,10,29,2.9,NA,5,15,3,NA,26173,181764
2019Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,5,11,2.2,NA,0,16,NA,z,27260,187928
2019Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,5,17,3.4,NA,5,20,4,NA,28422,188303
2019Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,5,9,1.8,NA,5,11,2.2,NA,25858,186274
2020Q1,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,5,23,4.6,NA,5,0,0,NA,23833,172875
2020Q2,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,10,33,3.3,NA,5,53,10.6,NA,18935,145186
2020Q3,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,5,67,13.4,NA,5,109,21.8,NA,22903,172120
2020Q4,NA,SB0801,NA,D102H,NA,Emergency Inpatients,NA,Male,20-29 years,5,29,5.8,NA,5,16,3.2,NA,20850,163740
