year,year_quarter,month,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,attendance_greater8hrs,attendance_greater12hrs
2016,2016Q3,07,C108H,Minor Injury Unit or Other,143,143,0,0
2016,2016Q3,07,C113H,Minor Injury Unit or Other,384,382,0,0
2016,2016Q3,07,C121H,Emergency Department,717,705,0,0
2016,2016Q3,07,C122H,Minor Injury Unit or Other,577,577,0,0
2016,2016Q3,07,H101H,Minor Injury Unit or Other,234,234,0,0
2016,2016Q3,07,H103H,Emergency Department,621,611,0,0
2016,2016Q3,07,H106H,Minor Injury Unit or Other,35,35,0,0
2016,2016Q3,07,H202H,Emergency Department,3006,2859,1,0
2016,2016Q3,07,H208H,Minor Injury Unit or Other,360,360,0,0
2016,2016Q3,07,H210H,Minor Injury Unit or Other,87,87,0,0
2016,2016Q3,07,H212H,Emergency Department,896,857,0,0
2016,2016Q3,07,H214H,Minor Injury Unit or Other,432,432,0,0
2016,2016Q3,07,H215H,Minor Injury Unit or Other,227,227,0,0
2016,2016Q3,07,H217H,Minor Injury Unit or Other,153,153,0,0
2016,2016Q3,07,H219H,Minor Injury Unit or Other,154,154,0,0
2016,2016Q3,07,H224H,Minor Injury Unit or Other,413,399,0,0
2016,2016Q3,07,H227B,Minor Injury Unit or Other,180,180,0,0
2016,2016Q3,07,H227H,Minor Injury Unit or Other,106,106,0,0
2016,2016Q3,07,L106H,Emergency Department,5605,5391,2,0
2016,2016Q3,07,L206H,Minor Injury Unit or Other,73,73,0,0
2016,2016Q3,07,L207H,Minor Injury Unit or Other,102,102,0,0
2016,2016Q3,07,L302H,Emergency Department,5322,5016,41,9
2016,2016Q3,07,L308H,Emergency Department,5221,4797,22,0
2016,2016Q3,07,S108H,Minor Injury Unit or Other,189,189,0,0
2016,2016Q3,07,S116H,Minor Injury Unit or Other,3596,3432,13,0
2016,2016Q3,07,S308H,Emergency Department,4396,4255,11,0
2016,2016Q3,07,S314H,Emergency Department,9865,9590,13,2
2016,2016Q3,07,S319H,Emergency Department,3348,3316,1,0
2016,2016Q3,07,R103H,Emergency Department,547,536,0,0
2016,2016Q3,07,Z102H,Emergency Department,665,636,0,0
2016,2016Q3,07,T101H,Emergency Department,4054,4027,0,0
2016,2016Q3,07,T202H,Emergency Department,2262,2247,0,0
2016,2016Q3,07,T205H,Minor Injury Unit or Other,30,30,0,0
2016,2016Q3,07,T209H,Minor Injury Unit or Other,299,299,0,0
2016,2016Q3,07,T304H,Minor Injury Unit or Other,1235,1234,0,0
2016,2016Q3,07,T305H,Minor Injury Unit or Other,251,251,0,0
2016,2016Q3,07,T316H,Minor Injury Unit or Other,113,113,0,0
2016,2016Q3,07,T319H,Minor Injury Unit or Other,523,523,0,0
2016,2016Q3,07,T320H,Minor Injury Unit or Other,285,285,0,0
2016,2016Q3,07,T357C,Minor Injury Unit or Other,417,417,0,0
2016,2016Q3,07,W106H,Minor Injury Unit or Other,86,86,0,0
2016,2016Q3,07,W107H,Emergency Department,667,664,0,0
2016,2016Q3,07,W108H,Minor Injury Unit or Other,136,136,0,0
2016,2016Q3,08,A101H,Minor Injury Unit or Other,311,309,0,0
2016,2016Q3,08,A110H,Minor Injury Unit or Other,103,103,0,0
2016,2016Q3,08,A111H,Emergency Department,5891,5692,16,0
2016,2016Q3,08,A210H,Emergency Department,3985,3554,50,16
2016,2016Q3,08,A216H,Minor Injury Unit or Other,80,80,0,0
2016,2016Q3,08,B103H,Minor Injury Unit or Other,12,12,0,0
2016,2016Q3,08,B105H,Minor Injury Unit or Other,102,102,0,0
2016,2016Q3,08,B114H,Minor Injury Unit or Other,9,9,0,0
2016,2016Q3,08,B118H,Minor Injury Unit or Other,55,55,0,0
2016,2016Q3,08,B120H,Emergency Department,2555,2400,6,0
2016,2016Q3,08,Y101H,Minor Injury Unit or Other,32,32,0,0
2016,2016Q3,08,Y106H,Minor Injury Unit or Other,80,80,0,0
2016,2016Q3,08,Y109H,Minor Injury Unit or Other,4,4,0,0
2016,2016Q3,08,Y110H,Minor Injury Unit or Other,17,17,0,0
2016,2016Q3,08,Y144H,Emergency Department,1094,1050,1,0
2016,2016Q3,08,Y146H,Emergency Department,3274,3102,1,0
2016,2016Q3,08,F704H,Emergency Department,5636,5354,11,0
2016,2016Q3,08,F708H,Minor Injury Unit or Other,154,154,0,0
2016,2016Q3,08,F709H,Minor Injury Unit or Other,310,310,0,0
2016,2016Q3,08,F805H,Minor Injury Unit or Other,2039,2037,0,0
2016,2016Q3,08,V201H,Minor Injury Unit or Other,1341,1340,0,0
2016,2016Q3,08,V217H,Emergency Department,5514,5184,4,0
2016,2016Q3,08,N101H,Emergency Department,4946,4680,4,0
2016,2016Q3,08,N121H,Emergency Department,1404,1391,0,0
2016,2016Q3,08,N151H,Minor Injury Unit or Other,131,131,0,0
2016,2016Q3,08,N331H,Minor Injury Unit or Other,17,17,0,0
2016,2016Q3,08,N332H,Minor Injury Unit or Other,34,34,0,0
2016,2016Q3,08,N333H,Minor Injury Unit or Other,1308,1308,0,0
2016,2016Q3,08,N334H,Minor Injury Unit or Other,724,723,0,0
2016,2016Q3,08,N335H,Minor Injury Unit or Other,291,289,0,0
2016,2016Q3,08,N336H,Minor Injury Unit or Other,228,228,0,0
2016,2016Q3,08,N337H,Minor Injury Unit or Other,320,314,0,0
2016,2016Q3,08,N411H,Emergency Department,2240,2141,3,0
2016,2016Q3,08,N431H,Minor Injury Unit or Other,69,69,0,0
2016,2016Q3,08,N432H,Minor Injury Unit or Other,20,20,0,0
2016,2016Q3,08,N433H,Minor Injury Unit or Other,98,98,0,0
2016,2016Q3,08,N451H,Minor Injury Unit or Other,24,24,0,0
2016,2016Q3,08,N494H,Minor Injury Unit or Other,141,141,0,0
2016,2016Q3,08,N683C,Minor Injury Unit or Other,50,50,0,0
2016,2016Q3,08,C206H,Minor Injury Unit or Other,1508,1476,0,0
2016,2016Q3,08,C313H,Emergency Department,2820,2638,6,0
2016,2016Q3,08,C418H,Emergency Department,6023,5493,23,0
2016,2016Q3,08,G107H,Emergency Department,7969,7194,12,0
2016,2016Q3,08,G207H,Minor Injury Unit or Other,1776,1776,0,0
2016,2016Q3,08,G306H,Minor Injury Unit or Other,2821,2820,0,0
2016,2016Q3,08,G405H,Emergency Department,8244,7136,7,0
2016,2016Q3,08,G513H,Emergency Department,4452,4440,0,0
2016,2016Q3,08,G516H,Minor Injury Unit or Other,1005,1005,0,0
2016,2016Q3,08,C106H,Minor Injury Unit or Other,677,677,0,0
2016,2016Q3,08,C108H,Minor Injury Unit or Other,167,167,0,0
2016,2016Q3,08,C113H,Minor Injury Unit or Other,373,372,0,0
2016,2016Q3,08,C121H,Emergency Department,748,741,0,0
2016,2016Q3,08,C122H,Minor Injury Unit or Other,576,576,0,0
2016,2016Q3,08,H101H,Minor Injury Unit or Other,196,196,0,0
2016,2016Q3,08,H103H,Emergency Department,645,613,2,0
2016,2016Q3,08,H106H,Minor Injury Unit or Other,60,60,0,0
2016,2016Q3,08,H202H,Emergency Department,3324,3053,13,0
2016,2016Q3,08,H208H,Minor Injury Unit or Other,378,378,0,0
2016,2016Q3,08,H210H,Minor Injury Unit or Other,95,95,0,0
2016,2016Q3,08,H212H,Emergency Department,927,868,4,0
2016,2016Q3,08,H214H,Minor Injury Unit or Other,465,465,0,0
2016,2016Q3,08,H215H,Minor Injury Unit or Other,266,266,0,0
2016,2016Q3,08,H217H,Minor Injury Unit or Other,67,67,0,0
2016,2016Q3,08,H219H,Minor Injury Unit or Other,227,227,0,0
2016,2016Q3,08,H224H,Minor Injury Unit or Other,504,498,0,0
2016,2016Q3,08,H227B,Minor Injury Unit or Other,161,161,0,0
2016,2016Q3,08,H227H,Minor Injury Unit or Other,153,153,0,0
2016,2016Q3,08,L106H,Emergency Department,5806,5626,2,0
2016,2016Q3,08,L206H,Minor Injury Unit or Other,83,83,0,0
2016,2016Q3,08,L207H,Minor Injury Unit or Other,123,123,0,0
2016,2016Q3,08,L302H,Emergency Department,5387,5036,6,0
2016,2016Q3,08,L308H,Emergency Department,5509,5028,39,3
2016,2016Q3,08,S108H,Minor Injury Unit or Other,219,219,0,0
2016,2016Q3,08,S116H,Minor Injury Unit or Other,4064,3581,112,39
2016,2016Q3,08,S308H,Emergency Department,4617,4458,11,1
2016,2016Q3,08,S314H,Emergency Department,10729,10127,54,4
2016,2016Q3,08,S319H,Emergency Department,3676,3629,1,0
2016,2016Q3,08,R103H,Emergency Department,512,500,0,0
2016,2016Q3,08,Z102H,Emergency Department,603,577,2,0
2016,2016Q3,08,T101H,Emergency Department,4310,4235,1,0
2016,2016Q3,08,T202H,Emergency Department,2243,2187,0,0
2016,2016Q3,08,T205H,Minor Injury Unit or Other,42,42,0,0
2016,2016Q3,08,T209H,Minor Injury Unit or Other,253,252,0,0
2016,2016Q3,08,T304H,Minor Injury Unit or Other,1172,1170,0,0
2016,2016Q3,08,T305H,Minor Injury Unit or Other,192,192,0,0
2016,2016Q3,08,T316H,Minor Injury Unit or Other,130,130,0,0
2016,2016Q3,08,T319H,Minor Injury Unit or Other,500,500,0,0
2016,2016Q3,08,T320H,Minor Injury Unit or Other,283,283,0,0
2016,2016Q3,08,T357C,Minor Injury Unit or Other,437,437,0,0
2016,2016Q3,08,W106H,Minor Injury Unit or Other,67,67,0,0
2016,2016Q3,08,W107H,Emergency Department,586,583,0,0
2016,2016Q3,08,W108H,Minor Injury Unit or Other,126,126,0,0
2016,2016Q3,09,A101H,Minor Injury Unit or Other,274,271,0,0
2016,2016Q3,09,A110H,Minor Injury Unit or Other,69,69,0,0
2016,2016Q3,09,A111H,Emergency Department,5988,5564,69,14
2016,2016Q3,09,A210H,Emergency Department,3811,3590,11,1
2016,2016Q3,09,A216H,Minor Injury Unit or Other,101,101,0,0
2016,2016Q3,09,B103H,Minor Injury Unit or Other,2,2,0,0
2016,2016Q3,09,B105H,Minor Injury Unit or Other,99,99,0,0
2016,2016Q3,09,B114H,Minor Injury Unit or Other,17,17,0,0
2016,2016Q3,09,B118H,Minor Injury Unit or Other,56,56,0,0
2016,2016Q3,09,B120H,Emergency Department,2506,2374,3,0
2016,2016Q3,09,Y101H,Minor Injury Unit or Other,16,16,0,0
2016,2016Q3,09,Y106H,Minor Injury Unit or Other,36,36,0,0
2016,2016Q3,09,Y109H,Minor Injury Unit or Other,3,3,0,0
2016,2016Q3,09,Y110H,Minor Injury Unit or Other,12,12,0,0
2016,2016Q3,09,Y144H,Emergency Department,1008,973,4,0
2016,2016Q3,09,Y146H,Emergency Department,2915,2769,0,0
2016,2016Q3,09,F704H,Emergency Department,5603,5245,20,0
2016,2016Q3,09,F708H,Minor Injury Unit or Other,147,147,0,0
2016,2016Q3,09,F709H,Minor Injury Unit or Other,362,362,0,0
2016,2016Q3,09,F805H,Minor Injury Unit or Other,2028,2025,0,0
2016,2016Q3,09,V201H,Minor Injury Unit or Other,1278,1278,0,0
2016,2016Q3,09,V217H,Emergency Department,5406,5129,3,0
2016,2016Q3,09,N101H,Emergency Department,5034,4579,9,0
2016,2016Q3,09,N121H,Emergency Department,1600,1578,0,0
2016,2016Q3,09,N151H,Minor Injury Unit or Other,133,133,0,0
2016,2016Q3,09,N331H,Minor Injury Unit or Other,20,20,0,0
2016,2016Q3,09,N332H,Minor Injury Unit or Other,21,21,0,0
2016,2016Q3,09,N333H,Minor Injury Unit or Other,1423,1422,0,0
2016,2016Q3,09,N334H,Minor Injury Unit or Other,755,755,0,0
2016,2016Q3,09,N335H,Minor Injury Unit or Other,298,298,0,0
2016,2016Q3,09,N336H,Minor Injury Unit or Other,202,202,0,0
2016,2016Q3,09,N337H,Minor Injury Unit or Other,305,299,0,0
2016,2016Q3,09,N411H,Emergency Department,2159,2113,2,0
2016,2016Q3,09,N431H,Minor Injury Unit or Other,68,68,0,0
2016,2016Q3,09,N432H,Minor Injury Unit or Other,21,21,0,0
2016,2016Q3,09,N433H,Minor Injury Unit or Other,89,89,0,0
2016,2016Q3,09,N451H,Minor Injury Unit or Other,15,15,0,0
2016,2016Q3,09,N494H,Minor Injury Unit or Other,140,140,0,0
2016,2016Q3,09,N683C,Minor Injury Unit or Other,47,47,0,0
2016,2016Q3,09,C206H,Minor Injury Unit or Other,1458,1421,0,0
2016,2016Q3,09,C313H,Emergency Department,2734,2632,5,0
2016,2016Q3,09,C418H,Emergency Department,5833,5484,4,0
2016,2016Q3,09,G107H,Emergency Department,7803,7012,16,1
2016,2016Q3,09,G207H,Minor Injury Unit or Other,1724,1724,0,0
2016,2016Q3,09,G306H,Minor Injury Unit or Other,2847,2846,0,0
2016,2016Q3,09,G405H,Emergency Department,7754,7021,10,0
2016,2016Q3,09,G513H,Emergency Department,4688,4671,0,0
2016,2016Q3,09,G516H,Minor Injury Unit or Other,1087,1087,0,0
2016,2016Q3,09,C106H,Minor Injury Unit or Other,595,595,0,0
2016,2016Q3,09,C108H,Minor Injury Unit or Other,117,117,0,0
2016,2016Q3,09,C113H,Minor Injury Unit or Other,395,394,0,0
2016,2016Q3,09,C121H,Emergency Department,688,680,1,0
2016,2016Q3,09,C122H,Minor Injury Unit or Other,533,533,0,0
2016,2016Q3,09,H101H,Minor Injury Unit or Other,214,213,0,0
2016,2016Q3,09,H103H,Emergency Department,674,655,0,0
2016,2016Q3,09,H106H,Minor Injury Unit or Other,32,32,0,0
2016,2016Q3,09,H202H,Emergency Department,2965,2796,4,2
2016,2016Q3,09,H208H,Minor Injury Unit or Other,379,379,0,0
2016,2016Q3,09,H210H,Minor Injury Unit or Other,98,98,0,0
2016,2016Q3,09,H212H,Emergency Department,845,817,2,0
2016,2016Q3,09,H214H,Minor Injury Unit or Other,352,352,0,0
2016,2016Q3,09,H215H,Minor Injury Unit or Other,224,224,0,0
2016,2016Q3,09,H217H,Minor Injury Unit or Other,96,96,0,0
2016,2016Q3,09,H219H,Minor Injury Unit or Other,209,209,0,0
2016,2016Q3,09,H224H,Minor Injury Unit or Other,425,414,0,0
2016,2016Q3,09,H227B,Minor Injury Unit or Other,190,190,0,0
2016,2016Q3,09,H227H,Minor Injury Unit or Other,137,137,0,0
2016,2016Q3,09,L106H,Emergency Department,5846,5632,1,0
2016,2016Q3,09,L206H,Minor Injury Unit or Other,87,87,0,0
2016,2016Q3,09,L207H,Minor Injury Unit or Other,92,92,0,0
2016,2016Q3,09,L302H,Emergency Department,5431,5077,32,5
2016,2016Q3,09,L308H,Emergency Department,5635,5066,91,33
2016,2016Q3,09,S108H,Minor Injury Unit or Other,216,216,0,0
2016,2016Q3,09,S116H,Minor Injury Unit or Other,4221,3675,162,72
2016,2016Q3,09,S308H,Emergency Department,4726,4559,7,0
2016,2016Q3,09,S314H,Emergency Department,10223,9418,85,11
2016,2016Q3,09,S319H,Emergency Department,4093,4035,0,0
2016,2016Q3,09,R103H,Emergency Department,514,508,0,0
2016,2016Q3,09,Z102H,Emergency Department,644,612,0,0
2016,2016Q3,09,T101H,Emergency Department,4348,4269,0,0
2016,2016Q3,09,T202H,Emergency Department,2241,2217,1,0
2016,2016Q3,09,T205H,Minor Injury Unit or Other,41,41,0,0
2016,2016Q3,09,T209H,Minor Injury Unit or Other,269,267,0,0
2016,2016Q3,09,T304H,Minor Injury Unit or Other,1177,1177,0,0
2016,2016Q3,09,T305H,Minor Injury Unit or Other,174,174,0,0
2016,2016Q3,09,T316H,Minor Injury Unit or Other,117,117,0,0
2016,2016Q3,09,T319H,Minor Injury Unit or Other,472,472,0,0
2016,2016Q3,09,T320H,Minor Injury Unit or Other,233,233,0,0
2016,2016Q3,09,T357C,Minor Injury Unit or Other,416,414,0,0
2016,2016Q3,09,W106H,Minor Injury Unit or Other,52,52,0,0
2016,2016Q3,09,W107H,Emergency Department,558,550,0,0
2016,2016Q3,09,W108H,Minor Injury Unit or Other,116,116,0,0
2016,2016Q4,10,A101H,Minor Injury Unit or Other,214,213,0,0
2016,2016Q4,10,A110H,Minor Injury Unit or Other,54,54,0,0
2016,2016Q4,10,A111H,Emergency Department,5874,5420,82,14
2016,2016Q4,10,A210H,Emergency Department,3694,3325,79,30
2016,2016Q4,10,A216H,Minor Injury Unit or Other,75,75,0,0
2016,2016Q4,10,B103H,Minor Injury Unit or Other,12,12,0,0
2016,2016Q4,10,B105H,Minor Injury Unit or Other,75,75,0,0
2016,2016Q4,10,B114H,Minor Injury Unit or Other,7,7,0,0
2016,2016Q4,10,B118H,Minor Injury Unit or Other,34,34,0,0
2016,2016Q4,10,B120H,Emergency Department,2464,2344,0,0
2016,2016Q4,10,Y101H,Minor Injury Unit or Other,31,31,0,0
2016,2016Q4,10,Y106H,Minor Injury Unit or Other,28,28,0,0
2016,2016Q4,10,Y109H,Minor Injury Unit or Other,1,1,0,0
2016,2016Q4,10,Y110H,Minor Injury Unit or Other,10,10,0,0
2016,2016Q4,10,Y144H,Emergency Department,984,938,1,0
2016,2016Q4,10,Y146H,Emergency Department,3009,2866,0,0
2016,2016Q4,10,F704H,Emergency Department,5203,4832,23,0
2016,2016Q4,10,F708H,Minor Injury Unit or Other,140,140,0,0
2016,2016Q4,10,F709H,Minor Injury Unit or Other,261,261,0,0
2016,2016Q4,10,F805H,Minor Injury Unit or Other,1710,1706,0,0
2016,2016Q4,10,V201H,Minor Injury Unit or Other,1237,1237,0,0
2016,2016Q4,10,V217H,Emergency Department,5343,4926,62,0
2016,2016Q4,10,N101H,Emergency Department,5064,4629,9,1
2016,2016Q4,10,N121H,Emergency Department,1159,1146,0,0
2016,2016Q4,10,N151H,Minor Injury Unit or Other,78,78,0,0
2016,2016Q4,10,N331H,Minor Injury Unit or Other,14,14,0,0
2016,2016Q4,10,N332H,Minor Injury Unit or Other,14,14,0,0
2016,2016Q4,10,N333H,Minor Injury Unit or Other,1262,1261,0,0
2016,2016Q4,10,N334H,Minor Injury Unit or Other,682,681,0,0
2016,2016Q4,10,N335H,Minor Injury Unit or Other,235,233,0,0
2016,2016Q4,10,N336H,Minor Injury Unit or Other,165,165,0,0
2016,2016Q4,10,N337H,Minor Injury Unit or Other,240,229,0,0
2016,2016Q4,10,N411H,Emergency Department,2047,1969,1,0
2016,2016Q4,10,N431H,Minor Injury Unit or Other,58,58,0,0
2016,2016Q4,10,N432H,Minor Injury Unit or Other,18,18,0,0
2016,2016Q4,10,N433H,Minor Injury Unit or Other,89,89,0,0
2016,2016Q4,10,N451H,Minor Injury Unit or Other,21,21,0,0
2016,2016Q4,10,N494H,Minor Injury Unit or Other,81,81,0,0
2016,2016Q4,10,N683C,Minor Injury Unit or Other,49,49,0,0
2016,2016Q4,10,C206H,Minor Injury Unit or Other,1431,1393,0,0
2016,2016Q4,10,C313H,Emergency Department,2650,2564,1,0
2016,2016Q4,10,C418H,Emergency Department,5773,5216,34,0
2016,2016Q4,10,G107H,Emergency Department,8169,7296,23,0
2016,2016Q4,10,G207H,Minor Injury Unit or Other,1572,1572,0,0
2016,2016Q4,10,G306H,Minor Injury Unit or Other,2585,2585,0,0
2016,2016Q4,10,G405H,Emergency Department,8055,7121,7,0
2016,2016Q4,10,G513H,Emergency Department,4975,4955,0,0
2016,2016Q4,10,G516H,Minor Injury Unit or Other,960,960,0,0
2016,2016Q4,10,C106H,Minor Injury Unit or Other,561,561,0,0
2016,2016Q4,10,C108H,Minor Injury Unit or Other,97,97,0,0
2016,2016Q4,10,C113H,Minor Injury Unit or Other,356,352,0,0
2016,2016Q4,10,C121H,Emergency Department,695,683,1,0
2016,2016Q4,10,C122H,Minor Injury Unit or Other,528,526,0,0
2016,2016Q4,10,H101H,Minor Injury Unit or Other,201,200,0,0
2016,2016Q4,10,H103H,Emergency Department,515,489,2,1
2016,2016Q4,10,H106H,Minor Injury Unit or Other,45,45,0,0
2016,2016Q4,10,H202H,Emergency Department,2660,2545,3,0
2016,2016Q4,10,H208H,Minor Injury Unit or Other,310,310,0,0
2016,2016Q4,10,H210H,Minor Injury Unit or Other,102,102,0,0
2016,2016Q4,10,H212H,Emergency Department,735,694,3,0
2016,2016Q4,10,H214H,Minor Injury Unit or Other,372,372,0,0
2016,2016Q4,10,H215H,Minor Injury Unit or Other,166,166,0,0
2016,2016Q4,10,H217H,Minor Injury Unit or Other,94,94,0,0
2016,2016Q4,10,H219H,Minor Injury Unit or Other,123,123,0,0
2016,2016Q4,10,H224H,Minor Injury Unit or Other,410,398,0,0
2016,2016Q4,10,H227B,Minor Injury Unit or Other,155,155,0,0
2016,2016Q4,10,H227H,Minor Injury Unit or Other,139,137,0,0
2016,2016Q4,10,L106H,Emergency Department,5676,5422,1,0
2016,2016Q4,10,L206H,Minor Injury Unit or Other,77,77,0,0
2016,2016Q4,10,L207H,Minor Injury Unit or Other,104,104,0,0
2016,2016Q4,10,L302H,Emergency Department,5322,4623,99,32
2016,2016Q4,10,L308H,Emergency Department,5528,5106,42,7
2016,2016Q4,10,S108H,Minor Injury Unit or Other,180,180,0,0
2016,2016Q4,10,S116H,Minor Injury Unit or Other,3989,3553,88,39
2016,2016Q4,10,S308H,Emergency Department,4602,4320,36,4
2016,2016Q4,10,S314H,Emergency Department,10161,9375,143,20
2016,2016Q4,10,S319H,Emergency Department,4169,4094,0,0
2016,2016Q4,10,R103H,Emergency Department,431,423,1,0
2016,2016Q4,10,Z102H,Emergency Department,581,562,0,0
2016,2016Q4,10,T101H,Emergency Department,4147,4060,0,0
2016,2016Q4,10,T202H,Emergency Department,2072,2031,1,0
2016,2016Q4,10,T205H,Minor Injury Unit or Other,35,35,0,0
2016,2016Q4,10,T209H,Minor Injury Unit or Other,275,275,0,0
2016,2016Q4,10,T304H,Minor Injury Unit or Other,1053,1053,0,0
2016,2016Q4,10,T305H,Minor Injury Unit or Other,182,182,0,0
2016,2016Q4,10,T316H,Minor Injury Unit or Other,97,97,0,0
2016,2016Q4,10,T319H,Minor Injury Unit or Other,487,487,0,0
2016,2016Q4,10,T320H,Minor Injury Unit or Other,217,217,0,0
2016,2016Q4,10,T357C,Minor Injury Unit or Other,467,467,0,0
2016,2016Q4,10,W106H,Minor Injury Unit or Other,59,59,0,0
2016,2016Q4,10,W107H,Emergency Department,555,545,0,0
2016,2016Q4,10,W108H,Minor Injury Unit or Other,106,105,0,0
2016,2016Q4,11,A101H,Minor Injury Unit or Other,166,165,0,0
2016,2016Q4,11,A110H,Minor Injury Unit or Other,58,58,0,0
2016,2016Q4,11,A111H,Emergency Department,5598,5220,69,25
2016,2016Q4,11,A210H,Emergency Department,3476,3038,69,23
2016,2016Q4,11,A216H,Minor Injury Unit or Other,89,89,0,0
2016,2016Q4,11,B103H,Minor Injury Unit or Other,7,7,0,0
2016,2016Q4,11,B105H,Minor Injury Unit or Other,59,59,0,0
2016,2016Q4,11,B114H,Minor Injury Unit or Other,9,9,0,0
2016,2016Q4,11,B118H,Minor Injury Unit or Other,33,33,0,0
2016,2016Q4,11,B120H,Emergency Department,2244,2132,6,3
2016,2016Q4,11,Y101H,Minor Injury Unit or Other,25,25,0,0
2016,2016Q4,11,Y106H,Minor Injury Unit or Other,26,26,0,0
2016,2016Q4,11,Y109H,Minor Injury Unit or Other,2,2,0,0
2016,2016Q4,11,Y110H,Minor Injury Unit or Other,8,8,0,0
2016,2016Q4,11,Y144H,Emergency Department,883,834,0,0
2016,2016Q4,11,Y146H,Emergency Department,2883,2714,3,0
2016,2016Q4,11,F704H,Emergency Department,4966,4488,53,12
2016,2016Q4,11,F708H,Minor Injury Unit or Other,129,129,0,0
2016,2016Q4,11,F709H,Minor Injury Unit or Other,290,290,0,0
2016,2016Q4,11,F805H,Minor Injury Unit or Other,1680,1679,0,0
2016,2016Q4,11,V201H,Minor Injury Unit or Other,1131,1130,0,0
2016,2016Q4,11,V217H,Emergency Department,5107,4538,63,0
2016,2016Q4,11,N101H,Emergency Department,4509,4230,4,1
2016,2016Q4,11,N121H,Emergency Department,1227,1211,0,0
2016,2016Q4,11,N151H,Minor Injury Unit or Other,95,95,0,0
2016,2016Q4,11,N331H,Minor Injury Unit or Other,5,5,0,0
2016,2016Q4,11,N332H,Minor Injury Unit or Other,14,14,0,0
2016,2016Q4,11,N333H,Minor Injury Unit or Other,1293,1293,0,0
2016,2016Q4,11,N334H,Minor Injury Unit or Other,605,605,0,0
