year,year_quarter,month,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,attendance_greater8hrs,attendance_greater12hrs,discharge_destination_admission_to_same,discharge_destination_other_specialty,discharge_destination_residence,discharge_destination_transfer,discharge_destination_unknown
2016,2016Q3,08,B120H,Emergency Department,2555,2400,6,0,891,2,1406,219,37
2016,2016Q3,08,Y101H,Minor Injury Unit or Other,32,32,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,Y106H,Minor Injury Unit or Other,80,80,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,Y109H,Minor Injury Unit or Other,4,4,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,Y110H,Minor Injury Unit or Other,17,17,0,0,0,0,14,3,0
2016,2016Q3,08,Y144H,Emergency Department,1094,1050,1,0,92,1,905,64,32
2016,2016Q3,08,Y146H,Emergency Department,3274,3102,1,0,1052,5,2063,79,75
2016,2016Q3,08,F704H,Emergency Department,5636,5354,11,0,1434,8,3942,69,183
2016,2016Q3,08,F708H,Minor Injury Unit or Other,154,154,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,F709H,Minor Injury Unit or Other,310,310,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,F805H,Minor Injury Unit or Other,2039,2037,0,0,10,1,1899,108,21
2016,2016Q3,08,V201H,Minor Injury Unit or Other,1341,1340,0,0,2,0,987,51,301
2016,2016Q3,08,V217H,Emergency Department,5514,5184,4,0,1440,11,3172,61,830
2016,2016Q3,08,N101H,Emergency Department,4946,4680,4,0,1255,9,3257,24,401
2016,2016Q3,08,N121H,Emergency Department,1404,1391,0,0,185,2,1187,0,30
2016,2016Q3,08,N151H,Minor Injury Unit or Other,131,131,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N331H,Minor Injury Unit or Other,17,17,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N332H,Minor Injury Unit or Other,34,34,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N333H,Minor Injury Unit or Other,1308,1308,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N334H,Minor Injury Unit or Other,724,723,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N335H,Minor Injury Unit or Other,291,289,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N336H,Minor Injury Unit or Other,228,228,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N337H,Minor Injury Unit or Other,320,314,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N411H,Emergency Department,2240,2141,3,0,409,3,1758,5,65
2016,2016Q3,08,N431H,Minor Injury Unit or Other,69,69,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N432H,Minor Injury Unit or Other,20,20,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N433H,Minor Injury Unit or Other,98,98,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N451H,Minor Injury Unit or Other,24,24,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N494H,Minor Injury Unit or Other,141,141,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,N683C,Minor Injury Unit or Other,50,50,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,C206H,Minor Injury Unit or Other,1508,1476,0,0,199,1,1177,116,15
2016,2016Q3,08,C313H,Emergency Department,2820,2638,6,0,697,4,1915,49,155
2016,2016Q3,08,C418H,Emergency Department,6023,5493,23,0,1817,12,3928,132,134
2016,2016Q3,08,G107H,Emergency Department,7969,7194,12,0,2518,23,4923,193,312
2016,2016Q3,08,G207H,Minor Injury Unit or Other,1776,1776,0,0,0,1,1631,109,35
2016,2016Q3,08,G306H,Minor Injury Unit or Other,2821,2820,0,0,3,2,2549,257,10
2016,2016Q3,08,G405H,Emergency Department,8244,7136,7,0,2569,30,5212,148,285
2016,2016Q3,08,G513H,Emergency Department,4452,4440,0,0,801,1,3638,2,10
2016,2016Q3,08,G516H,Minor Injury Unit or Other,1005,1005,0,0,0,0,934,67,4
2016,2016Q3,08,C106H,Minor Injury Unit or Other,677,677,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,C108H,Minor Injury Unit or Other,167,167,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,C113H,Minor Injury Unit or Other,373,372,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,C121H,Emergency Department,748,741,0,0,186,0,553,9,0
2016,2016Q3,08,C122H,Minor Injury Unit or Other,576,576,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H101H,Minor Injury Unit or Other,196,196,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H103H,Emergency Department,645,613,2,0,188,1,453,3,0
2016,2016Q3,08,H106H,Minor Injury Unit or Other,60,60,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H202H,Emergency Department,3324,3053,13,0,805,3,2503,13,0
2016,2016Q3,08,H208H,Minor Injury Unit or Other,378,378,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H210H,Minor Injury Unit or Other,95,95,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H212H,Emergency Department,927,868,4,0,169,1,749,8,0
2016,2016Q3,08,H214H,Minor Injury Unit or Other,465,465,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H215H,Minor Injury Unit or Other,266,266,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H217H,Minor Injury Unit or Other,67,67,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H219H,Minor Injury Unit or Other,227,227,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H224H,Minor Injury Unit or Other,504,498,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H227B,Minor Injury Unit or Other,161,161,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,H227H,Minor Injury Unit or Other,153,153,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,L106H,Emergency Department,5806,5626,2,0,1858,2,3833,62,51
2016,2016Q3,08,L206H,Minor Injury Unit or Other,83,83,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,L207H,Minor Injury Unit or Other,123,123,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,L302H,Emergency Department,5387,5036,6,0,1478,9,3826,57,17
2016,2016Q3,08,L308H,Emergency Department,5509,5028,39,3,1294,3,4021,78,113
2016,2016Q3,08,S108H,Minor Injury Unit or Other,219,219,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,S116H,Minor Injury Unit or Other,4064,3581,112,39,1104,0,2947,13,0
2016,2016Q3,08,S308H,Emergency Department,4617,4458,11,1,925,6,3624,62,0
2016,2016Q3,08,S314H,Emergency Department,10729,10127,54,4,2869,19,7667,174,0
2016,2016Q3,08,S319H,Emergency Department,3676,3629,1,0,428,0,3223,25,0
2016,2016Q3,08,R103H,Emergency Department,512,500,0,0,133,0,376,2,1
2016,2016Q3,08,Z102H,Emergency Department,603,577,2,0,136,1,447,5,14
2016,2016Q3,08,T101H,Emergency Department,4310,4235,1,0,1195,10,2836,268,1
2016,2016Q3,08,T202H,Emergency Department,2243,2187,0,0,362,4,1549,328,0
2016,2016Q3,08,T205H,Minor Injury Unit or Other,42,42,0,0,0,0,37,4,1
2016,2016Q3,08,T209H,Minor Injury Unit or Other,253,252,0,0,0,0,239,12,2
2016,2016Q3,08,T304H,Minor Injury Unit or Other,1172,1170,0,0,0,0,1090,80,2
2016,2016Q3,08,T305H,Minor Injury Unit or Other,192,192,0,0,0,0,185,6,1
2016,2016Q3,08,T316H,Minor Injury Unit or Other,130,130,0,0,0,0,117,11,2
2016,2016Q3,08,T319H,Minor Injury Unit or Other,500,500,0,0,0,0,482,18,0
2016,2016Q3,08,T320H,Minor Injury Unit or Other,283,283,0,0,0,0,262,20,1
2016,2016Q3,08,T357C,Minor Injury Unit or Other,437,437,0,0,0,0,415,19,3
2016,2016Q3,08,W106H,Minor Injury Unit or Other,67,67,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,08,W107H,Emergency Department,586,583,0,0,132,1,433,12,8
2016,2016Q3,08,W108H,Minor Injury Unit or Other,126,126,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,A101H,Minor Injury Unit or Other,274,271,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,A110H,Minor Injury Unit or Other,69,69,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,A111H,Emergency Department,5988,5564,69,14,2102,6,3477,119,284
2016,2016Q3,09,A210H,Emergency Department,3811,3590,11,1,1444,2,2174,115,76
2016,2016Q3,09,A216H,Minor Injury Unit or Other,101,101,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,B103H,Minor Injury Unit or Other,2,2,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,B105H,Minor Injury Unit or Other,99,99,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,B114H,Minor Injury Unit or Other,17,17,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,B118H,Minor Injury Unit or Other,56,56,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,B120H,Emergency Department,2506,2374,3,0,792,1,1351,332,30
2016,2016Q3,09,Y101H,Minor Injury Unit or Other,16,16,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,Y106H,Minor Injury Unit or Other,36,36,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,Y109H,Minor Injury Unit or Other,3,3,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,Y110H,Minor Injury Unit or Other,12,12,0,0,0,0,11,1,0
2016,2016Q3,09,Y144H,Emergency Department,1008,973,4,0,91,0,831,63,23
2016,2016Q3,09,Y146H,Emergency Department,2915,2769,0,0,988,2,1799,70,56
2016,2016Q3,09,F704H,Emergency Department,5603,5245,20,0,1441,4,3915,93,150
2016,2016Q3,09,F708H,Minor Injury Unit or Other,147,147,0,0,0,0,0,0,147
2016,2016Q3,09,F709H,Minor Injury Unit or Other,362,362,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,F805H,Minor Injury Unit or Other,2028,2025,0,0,13,0,1854,136,25
2016,2016Q3,09,V201H,Minor Injury Unit or Other,1278,1278,0,0,2,0,927,37,312
2016,2016Q3,09,V217H,Emergency Department,5406,5129,3,0,1316,10,3196,48,836
2016,2016Q3,09,N101H,Emergency Department,5034,4579,9,0,1325,10,3297,22,380
2016,2016Q3,09,N121H,Emergency Department,1600,1578,0,0,181,0,1371,1,47
2016,2016Q3,09,N151H,Minor Injury Unit or Other,133,133,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N331H,Minor Injury Unit or Other,20,20,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N332H,Minor Injury Unit or Other,21,21,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N333H,Minor Injury Unit or Other,1423,1422,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N334H,Minor Injury Unit or Other,755,755,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N335H,Minor Injury Unit or Other,298,298,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N336H,Minor Injury Unit or Other,202,202,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N337H,Minor Injury Unit or Other,305,299,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N411H,Emergency Department,2159,2113,2,0,353,1,1750,7,48
2016,2016Q3,09,N431H,Minor Injury Unit or Other,68,68,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N432H,Minor Injury Unit or Other,21,21,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N433H,Minor Injury Unit or Other,89,89,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N451H,Minor Injury Unit or Other,15,15,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N494H,Minor Injury Unit or Other,140,140,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,N683C,Minor Injury Unit or Other,47,47,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,C206H,Minor Injury Unit or Other,1458,1421,0,0,226,0,1143,73,16
2016,2016Q3,09,C313H,Emergency Department,2734,2632,5,0,700,4,1776,41,213
2016,2016Q3,09,C418H,Emergency Department,5833,5484,4,0,1893,12,3721,83,124
2016,2016Q3,09,G107H,Emergency Department,7803,7012,16,1,2448,18,4882,145,310
2016,2016Q3,09,G207H,Minor Injury Unit or Other,1724,1724,0,0,0,0,1587,108,29
2016,2016Q3,09,G306H,Minor Injury Unit or Other,2847,2846,0,0,3,0,2481,342,21
2016,2016Q3,09,G405H,Emergency Department,7754,7021,10,0,2339,10,5107,109,189
2016,2016Q3,09,G513H,Emergency Department,4688,4671,0,0,806,2,3867,3,10
2016,2016Q3,09,G516H,Minor Injury Unit or Other,1087,1087,0,0,0,0,999,82,6
2016,2016Q3,09,C106H,Minor Injury Unit or Other,595,595,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,C108H,Minor Injury Unit or Other,117,117,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,C113H,Minor Injury Unit or Other,395,394,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,C121H,Emergency Department,688,680,1,0,156,0,520,12,0
2016,2016Q3,09,C122H,Minor Injury Unit or Other,533,533,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H101H,Minor Injury Unit or Other,214,213,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H103H,Emergency Department,674,655,0,0,184,1,488,1,0
2016,2016Q3,09,H106H,Minor Injury Unit or Other,32,32,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H202H,Emergency Department,2965,2796,4,2,752,3,2201,9,0
2016,2016Q3,09,H208H,Minor Injury Unit or Other,379,379,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H210H,Minor Injury Unit or Other,98,98,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H212H,Emergency Department,845,817,2,0,159,0,681,5,0
2016,2016Q3,09,H214H,Minor Injury Unit or Other,352,352,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H215H,Minor Injury Unit or Other,224,224,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H217H,Minor Injury Unit or Other,96,96,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H219H,Minor Injury Unit or Other,209,209,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H224H,Minor Injury Unit or Other,425,414,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H227B,Minor Injury Unit or Other,190,190,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,H227H,Minor Injury Unit or Other,137,137,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,L106H,Emergency Department,5846,5632,1,0,1814,9,3886,74,63
2016,2016Q3,09,L206H,Minor Injury Unit or Other,87,87,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,L207H,Minor Injury Unit or Other,92,92,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,L302H,Emergency Department,5431,5077,32,5,1565,4,3784,69,9
2016,2016Q3,09,L308H,Emergency Department,5635,5066,91,33,1303,9,4156,62,105
2016,2016Q3,09,S108H,Minor Injury Unit or Other,216,216,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,S116H,Minor Injury Unit or Other,4221,3675,162,72,1138,0,3038,45,0
2016,2016Q3,09,S308H,Emergency Department,4726,4559,7,0,982,6,3678,60,0
2016,2016Q3,09,S314H,Emergency Department,10223,9418,85,11,2665,15,7356,187,0
2016,2016Q3,09,S319H,Emergency Department,4093,4035,0,0,507,0,3418,168,0
2016,2016Q3,09,R103H,Emergency Department,514,508,0,0,147,2,359,3,3
2016,2016Q3,09,Z102H,Emergency Department,644,612,0,0,143,0,491,2,8
2016,2016Q3,09,T101H,Emergency Department,4348,4269,0,0,1179,8,2865,276,20
2016,2016Q3,09,T202H,Emergency Department,2241,2217,1,0,404,1,1505,331,0
2016,2016Q3,09,T205H,Minor Injury Unit or Other,41,41,0,0,0,0,37,4,0
2016,2016Q3,09,T209H,Minor Injury Unit or Other,269,267,0,0,0,0,257,9,3
2016,2016Q3,09,T304H,Minor Injury Unit or Other,1177,1177,0,0,0,0,1072,102,3
2016,2016Q3,09,T305H,Minor Injury Unit or Other,174,174,0,0,0,0,165,8,1
2016,2016Q3,09,T316H,Minor Injury Unit or Other,117,117,0,0,1,0,107,8,1
2016,2016Q3,09,T319H,Minor Injury Unit or Other,472,472,0,0,0,0,454,16,2
2016,2016Q3,09,T320H,Minor Injury Unit or Other,233,233,0,0,0,0,211,16,6
2016,2016Q3,09,T357C,Minor Injury Unit or Other,416,414,0,0,0,0,393,22,1
2016,2016Q3,09,W106H,Minor Injury Unit or Other,52,52,NA,NA,NA,NA,NA,NA,NA
2016,2016Q3,09,W107H,Emergency Department,558,550,0,0,137,1,403,12,5
2016,2016Q3,09,W108H,Minor Injury Unit or Other,116,116,NA,NA,NA,NA,NA,NA,NA
2016,2016Q4,10,A101H,Minor Injury Unit or Other,214,213,NA,NA,NA,NA,NA,NA,NA
2016,2016Q4,10,A110H,Minor Injury Unit or Other,54,54,NA,NA,NA,NA,NA,NA,NA
2016,2016Q4,10,A111H,Emergency Department,5874,5420,82,14,2096,8,3459,86,225
2016,2016Q4,10,A210H,Emergency Department,3694,3325,79,30,1443,7,2017,117,110
2016,2016Q4,10,A216H,Minor Injury Unit or Other,75,75,NA,NA,NA,NA,NA,NA,NA
